NAMESPACE       NAME                                                     READY   STATUS    RESTARTS   AGE     IP             NODE                          NOMINATED NODE   READINESS GATES
argo-rollouts   argo-rollouts-7c7697cb6d-5qp6r                           1/1     Running   0          95s     10.40.10.109   ip-10-40-10-43.ec2.internal   <none>           <none>
argo-rollouts   argo-rollouts-7c7697cb6d-66mh5                           1/1     Running   0          96s     10.40.11.45    ip-10-40-11-51.ec2.internal   <none>           <none>
argo-rollouts   argo-rollouts-dashboard-fcf585bff-7g92q                  1/1     Running   0          96s     10.40.10.134   ip-10-40-10-43.ec2.internal   <none>           <none>
ingress-nginx   ingress-nginx-controller-bd6958564-6n96g                 1/1     Running   0          2m3s    10.40.11.19    ip-10-40-11-51.ec2.internal   <none>           <none>
ingress-nginx   ingress-nginx-controller-bd6958564-b2bmx                 1/1     Running   0          2m3s    10.40.10.108   ip-10-40-10-43.ec2.internal   <none>           <none>
kube-system     aws-node-kctsk                                           2/2     Running   0          9m18s   10.40.10.43    ip-10-40-10-43.ec2.internal   <none>           <none>
kube-system     aws-node-pw825                                           2/2     Running   0          9m18s   10.40.11.51    ip-10-40-11-51.ec2.internal   <none>           <none>
kube-system     coredns-59845f7779-wkmlr                                 1/1     Running   0          12m     10.40.11.123   ip-10-40-11-51.ec2.internal   <none>           <none>
kube-system     coredns-59845f7779-xpjvw                                 1/1     Running   0          12m     10.40.10.141   ip-10-40-10-43.ec2.internal   <none>           <none>
kube-system     kube-proxy-95zj6                                         1/1     Running   0          9m18s   10.40.10.43    ip-10-40-10-43.ec2.internal   <none>           <none>
kube-system     kube-proxy-dpt9l                                         1/1     Running   0          9m18s   10.40.11.51    ip-10-40-11-51.ec2.internal   <none>           <none>
monitoring      alertmanager-monitoring-kube-prometheus-alertmanager-0   2/2     Running   0          38s     10.40.11.220   ip-10-40-11-51.ec2.internal   <none>           <none>
monitoring      monitoring-grafana-75679f65c4-7sl6f                      3/3     Running   0          42s     10.40.10.209   ip-10-40-10-43.ec2.internal   <none>           <none>
monitoring      monitoring-kube-prometheus-operator-5b45b66b44-672ds     1/1     Running   0          42s     10.40.11.127   ip-10-40-11-51.ec2.internal   <none>           <none>
monitoring      monitoring-kube-state-metrics-774d68cb66-x7xdq           1/1     Running   0          42s     10.40.11.142   ip-10-40-11-51.ec2.internal   <none>           <none>
monitoring      monitoring-prometheus-node-exporter-4gq88                1/1     Running   0          43s     10.40.11.51    ip-10-40-11-51.ec2.internal   <none>           <none>
monitoring      monitoring-prometheus-node-exporter-lzzp4                1/1     Running   0          43s     10.40.10.43    ip-10-40-10-43.ec2.internal   <none>           <none>
monitoring      prometheus-monitoring-kube-prometheus-prometheus-0       2/2     Running   0          38s     10.40.11.128   ip-10-40-11-51.ec2.internal   <none>           <none>
