NAMESPACE       NAME                                                 TYPE           CLUSTER-IP       EXTERNAL-IP                                                               PORT(S)                        AGE    SELECTOR
argo-rollouts   argo-rollouts-dashboard                              ClusterIP      172.20.165.161   <none>                                                                    3100/TCP                       98s    app.kubernetes.io/component=rollouts-dashboard,app.kubernetes.io/instance=argo-rollouts,app.kubernetes.io/name=argo-rollouts
default         kubernetes                                           ClusterIP      172.20.0.1       <none>                                                                    443/TCP                        13m    <none>
ingress-nginx   ingress-nginx-controller                             LoadBalancer   172.20.25.144    ad5fe725d2d39434b8cea8cbb83f0328-1382625397.us-east-1.elb.amazonaws.com   80:31699/TCP,443:30139/TCP     2m5s   app.kubernetes.io/component=controller,app.kubernetes.io/instance=ingress-nginx,app.kubernetes.io/name=ingress-nginx
ingress-nginx   ingress-nginx-controller-admission                   ClusterIP      172.20.192.209   <none>                                                                    443/TCP                        2m5s   app.kubernetes.io/component=controller,app.kubernetes.io/instance=ingress-nginx,app.kubernetes.io/name=ingress-nginx
kube-system     eks-extension-metrics-api                            ClusterIP      172.20.152.168   <none>                                                                    443/TCP                        13m    <none>
kube-system     kube-dns                                             ClusterIP      172.20.0.10      <none>                                                                    53/UDP,53/TCP,9153/TCP         12m    k8s-app=kube-dns
kube-system     monitoring-kube-prometheus-coredns                   ClusterIP      None             <none>                                                                    9153/TCP                       45s    k8s-app=kube-dns
kube-system     monitoring-kube-prometheus-kube-controller-manager   ClusterIP      None             <none>                                                                    10257/TCP                      45s    component=kube-controller-manager
kube-system     monitoring-kube-prometheus-kube-etcd                 ClusterIP      None             <none>                                                                    2381/TCP                       45s    component=etcd
kube-system     monitoring-kube-prometheus-kube-proxy                ClusterIP      None             <none>                                                                    10249/TCP                      45s    k8s-app=kube-proxy
kube-system     monitoring-kube-prometheus-kube-scheduler            ClusterIP      None             <none>                                                                    10259/TCP                      45s    component=kube-scheduler
kube-system     monitoring-kube-prometheus-kubelet                   ClusterIP      None             <none>                                                                    10250/TCP,4194/TCP,10255/TCP   41s    <none>
monitoring      alertmanager-operated                                ClusterIP      None             <none>                                                                    9093/TCP,9094/TCP,9094/UDP     40s    app.kubernetes.io/name=alertmanager
monitoring      monitoring-grafana                                   ClusterIP      172.20.100.78    <none>                                                                    80/TCP                         45s    app.kubernetes.io/instance=monitoring,app.kubernetes.io/name=grafana
monitoring      monitoring-kube-prometheus-alertmanager              ClusterIP      172.20.138.190   <none>                                                                    9093/TCP,8080/TCP              45s    alertmanager=monitoring-kube-prometheus-alertmanager,app.kubernetes.io/name=alertmanager
monitoring      monitoring-kube-prometheus-operator                  ClusterIP      172.20.155.189   <none>                                                                    443/TCP                        45s    app=kube-prometheus-stack-operator,release=monitoring
monitoring      monitoring-kube-prometheus-prometheus                ClusterIP      172.20.19.60     <none>                                                                    9090/TCP,8080/TCP              45s    app.kubernetes.io/name=prometheus,operator.prometheus.io/name=monitoring-kube-prometheus-prometheus
monitoring      monitoring-kube-state-metrics                        ClusterIP      172.20.172.225   <none>                                                                    8080/TCP                       45s    app.kubernetes.io/instance=monitoring,app.kubernetes.io/name=kube-state-metrics
monitoring      monitoring-prometheus-node-exporter                  ClusterIP      172.20.166.218   <none>                                                                    9100/TCP                       45s    app.kubernetes.io/instance=monitoring,app.kubernetes.io/name=prometheus-node-exporter
monitoring      prometheus-operated                                  ClusterIP      None             <none>                                                                    9090/TCP                       40s    app.kubernetes.io/name=prometheus
